Document Name,Fund,Share classes,ISINs,Audience,ID path,Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Moderate Buffer UCITS ETF - February,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF, February A Acc USD,IE000X8M8M80,Uruguay Qualified Investor, Chile Qualified Investor, Mexico Qualified Investor, Peru Qualified Investor, Colombia Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/576a4723-e506-4795-ab48-60e73c776aa8/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Moderate Buffer UCITS ETF - February,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF, February A Acc USD,IE000X8M8M80,US Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/68033b71-dbd5-44fc-939a-ba8c71a217a0/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Moderate Buffer UCITS ETF - February,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF, February A Acc USD,IE000X8M8M80,Luxembourg Professional Investor, Belgium Professional Investor, Switzerland Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/aa2f09d4-95af-4005-aa9e-bc51ea424170/FactSheet.pdf,French,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Moderate Buffer UCITS ETF - February,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF, February A Acc USD,IE000X8M8M80,Italy Professional Investor, Switzerland Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/7fa88998-5c62-4849-80e0-3623a600a85b/FactSheet.pdf,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Moderate Buffer UCITS ETF - February,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF, February A Acc USD,IE000X8M8M80,Austria Professional Investor, Germany Professional Investor, Switzerland Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/c40769f1-b4d5-4288-ae35-0217f13005aa/FactSheet.pdf,German,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Moderate Buffer UCITS ETF - February,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF, February A Acc USD,IE000X8M8M80,France Professional Investor,https://www.ftglobalportfolios.com/srp/documents-id/87a2d365-75c3-4c27-a76a-4d8462b483fa/FactSheet.pdf,French,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCITS KIID,Vest U.S. Equity Moderate Buffer UCITS ETF - February,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF, February A Acc USD,IE000X8M8M80,UK Retail Investor, UK Professional Investor,https://www.ftglobalportfolios.com/srp/documents-id/12b3eaca-6c0d-4fd4-aae1-e4d13da2b4e1/KIID.pdf,English,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Buffer UCITS ETF - January,First Trust Vest U.S. Equity Buffer UCITS ETF, January A Acc USD,IE000MDKBOB3,Malta Professional Investor, Norway Professional Investor, Portugal Professional Investor, Spain Professional Investor, UK Professional Investor, Iceland Professional Investor, Ireland Professional Investor,https://www.ftglobalportfolios.com/srp/documents-id/9b3faed3-7dbf-4210-9e55-4f8faeed6b29/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Buffer UCITS ETF - January,First Trust Vest U.S. Equity Buffer UCITS ETF, January A Acc USD,IE000MDKBOB3,Singapore Professional Investor, Hong Kong Professional Investor, Taiwan Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/49dd3a24-9860-4a71-a8b6-11ff4e7b3c61/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Buffer UCITS ETF - January,First Trust Vest U.S. Equity Buffer UCITS ETF, January A Acc USD,IE000MDKBOB3,Luxembourg Professional Investor, Netherlands Professional Investor, Sweden Professional Investor, Denmark Professional Investor, Finland Professional Investor, Belgium Professional Investor, Switzerland Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/c132b7b3-63c5-41a5-92fe-bccfbad42b2d/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Buffer UCITS ETF - January,First Trust Vest U.S. Equity Buffer UCITS ETF, January A Acc USD,IE000MDKBOB3,UK Retail Investor,https://www.ftglobalportfolios.com/srp/documents-id/557b3c10-2439-446a-a108-4ea34d99f66e/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Buffer UCITS ETF - January,First Trust Vest U.S. Equity Buffer UCITS ETF, January A Acc USD,IE000MDKBOB3,Uruguay Qualified Investor, Chile Qualified Investor, Mexico Qualified Investor, Peru Qualified Investor, Colombia Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/c532d506-6b6c-4ebe-84e7-3158163067e1/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Buffer UCITS ETF - January,First Trust Vest U.S. Equity Buffer UCITS ETF, January A Acc USD,IE000MDKBOB3,US Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/92be4c9d-7c94-4145-b5e4-e19dab0fed33/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,
